question,query
List all boardgames by GMT. <pad> VERB DET NOUN ADP PROPN PUNCT <pad> ROOT det dobj prep pobj punct <pad> 1 3 2 3 4 2 <pad> res_GMT_Games,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Zeige mir alle Brettspiele von GMT. <pad> VERB PRON DET NOUN ADP PROPN PUNCT <pad> ROOT da nk oa pg nk punct <pad> 1 2 3 2 3 4 2 <pad> res_GMT_Games,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Listez tous les jeux de société de GMT. <pad> PROPN ADJ DET NOUN ADP NOUN ADP PROPN PUNCT <pad> ROOT amod det obl:mod case nmod case nmod punct <pad> 1 3 3 2 4 3 5 4 2 <pad> res_GMT_Games,SELECT var_uri WHERE bra_open var_uri dbo_publisher res_GMT_Games bra_close 
Who developed Skype? <pad> PRON VERB PROPN PUNCT <pad> nsubj ROOT dobj punct <pad> 2 1 2 2 <pad> res_Skype,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Wer hat Skype entwickelt? <pad> PRON VERB NOUN VERB PUNCT <pad> sb ROOT oa oc punct <pad> 2 1 3 2 2 <pad> res_Skype,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Qui a développé Skype ? <pad> PRON AUX VERB PROPN PUNCT <pad> nsubj aux:tense ROOT obj punct <pad> 2 2 1 2 2 <pad> res_Skype,SELECT DISTINCT var_uri WHERE bra_open res_Skype dbo_developer var_uri sep_dot bra_close 
Which people were born in Heraklion? <pad> DET NOUN AUX VERB ADP PROPN PUNCT <pad> det nsubjpass auxpass ROOT prep pobj punct <pad> 3 2 2 1 2 3 2 <pad> dbr_Heraklion,SELECT DISTINCT var_uri WHERE bra_open var_uri rdf_type dbo_Person ; onto_birthPlace dbr_Heraklion bra_close 
Welche Menschen wurden in Heraklion geboren? <pad> DET NOUN AUX ADP NOUN VERB PUNCT <pad> nk sb ROOT mo nk oc punct <pad> 3 2 1 3 4 2 2 <pad> dbr_Heraklion,SELECT DISTINCT var_uri WHERE bra_open var_uri rdf_type dbo_Person ; onto_birthPlace dbr_Heraklion bra_close 
Qui est né à Heraklion ? <pad> PRON AUX VERB ADP PROPN PUNCT <pad> nsubj:pass aux:pass ROOT case obl:arg punct <pad> 2 2 1 3 2 2 <pad> dbr_Heraklion,SELECT DISTINCT var_uri WHERE bra_open var_uri rdf_type dbo_Person ; onto_birthPlace dbr_Heraklion bra_close 
In which U.S. state is Area 51 located? <pad> ADP PRON PROPN NOUN AUX PROPN NUM VERB PUNCT <pad> prep pobj compound nsubj ROOT attr nummod acl punct <pad> 2 3 3 2 1 2 3 3 2 <pad> res_Area_51 res_United_States,SELECT DISTINCT var_uri WHERE bra_open res_Area_51 dbo_location var_uri sep_dot var_uri dbo_country res_United_States sep_dot bra_close 
In welchem US Bundesstaat liegt Area 51? <pad> ADP DET NOUN NOUN VERB PROPN NUM PUNCT <pad> mo nk nk nk ROOT pnc sb punct <pad> 2 4 3 3 1 3 2 2 <pad> res_Area_51 res_United_States,SELECT DISTINCT var_uri WHERE bra_open res_Area_51 dbo_location var_uri sep_dot var_uri dbo_country res_United_States sep_dot bra_close 
Dans quel Etat des Etats-Unis se situe l'Area 51 ? <pad> ADP DET NOUN ADP NOUN PRON VERB DET PROPN NUM PUNCT <pad> case det obl:mod case nmod expl:comp ROOT det obj nummod punct <pad> 3 3 2 4 3 2 1 3 2 3 2 <pad> res_Area_51 res_United_States,SELECT DISTINCT var_uri WHERE bra_open res_Area_51 dbo_location var_uri sep_dot var_uri dbo_country res_United_States sep_dot bra_close 
Who is the mayor of New York City? <pad> PRON AUX DET NOUN ADP PROPN PROPN PROPN PUNCT <pad> attr ROOT det nsubj prep compound compound pobj punct <pad> 2 1 3 2 3 6 5 4 2 <pad> res_New_York_City,SELECT DISTINCT var_uri WHERE bra_open res_New_York_City dbo_leaderName var_uri bra_close 
Wer ist der Bürgermeister von New York City? <pad> PRON AUX DET NOUN ADP PROPN PROPN PROPN PUNCT <pad> sb ROOT nk pd pg pnc pnc nk punct <pad> 2 1 3 2 3 5 5 4 2 <pad> res_New_York_City,SELECT DISTINCT var_uri WHERE bra_open res_New_York_City dbo_leaderName var_uri bra_close 
Qui est le maire de la cité de New York ? <pad> PRON AUX DET NOUN ADP DET NOUN ADP PROPN PROPN PUNCT <pad> nsubj cop det ROOT case det nmod case nmod flat:name punct <pad> 2 2 2 1 3 3 2 4 3 4 2 <pad> res_New_York_City,SELECT DISTINCT var_uri WHERE bra_open res_New_York_City dbo_leaderName var_uri bra_close 
Which countries have places with more than two caves? <pad> DET NOUN VERB NOUN ADP ADJ ADP NUM NOUN PUNCT <pad> det nsubj ROOT dobj prep amod quantmod nummod pobj punct <pad> 3 2 1 2 3 6 6 5 4 2 <pad> ,SELECT DISTINCT var_uri WHERE bra_open var_cave rdf_type dbo_Cave ; dbo_location var_uri sep_dot var_uri rdf_type dbo_Country bra_close GROUP BY var_uri HAVING ( COUNT( var_cave) > 2 )
